school_name,type,program,grades,hist_2022_23,hist_2023_24,hist_2024_25,fcst_2025_26,fcst_2026_27,fcst_2027_28,fcst_2028_29,fcst_2029_30,fcst_2030_31,fcst_2031_32,fcst_2032_33,fcst_2033_34,fcst_2034_35
Ainsworth,ES,Neighborhood,K-5,287,294,289,279,276,277,280,268,269,270,275,277,274
Ainsworth,ES,Spanish,K-5,276,291,295,292,289,282,283,283,282,283,286,292,291
Ainsworth,ES,Total,K-5,563,585,584,571,565,559,563,551,551,553,561,569,565
Chapman,ES,Total,K-5,350,344,349,348,346,331,345,352,346,347,347,349,340
Forest Park,ES,Total,K-5,328,321,303,274,265,263,255,264,265,268,271,275,272
Skyline,K8,Total,K-8,214,218,226,229,230,222,225,225,221,217,210,211,210
West Sylvan,MS,Neighborhood,6-8,624,591,553,554,531,528,501,503,503,487,472,456,484
West Sylvan,MS,Spanish,6-8,133,131,117,117,117,132,128,130,129,130,126,117,121
West Sylvan,MS,Total,6-8,757,722,670,671,648,660,629,633,632,617,598,573,605
Lincoln,HS,Neighborhood,9-12,1335,1387,1430,1441,1378,1300,1248,1191,1168,1164,1156,1144,1119
Lincoln,HS,Spanish,9-12,186,192,185,176,180,162,164,158,161,173,173,177,170
Lincoln,HS,Total,9-12,1521,1579,1615,1617,1558,1462,1412,1349,1329,1337,1329,1321,1289
Clark,ES,Mandarin,K-5,0,80,72,72,71,72,63,60,59,57,56,56,56
Clark,ES,Neighborhood,K-5,0,261,259,245,233,216,205,204,199,197,195,194,195
Clark,ES,Total,K-5,0,341,331,317,304,288,268,264,258,254,251,250,251
Lee,ES,Total,K-5,273,288,257,240,233,224,223,213,224,224,226,227,226
Rigler,ES,Neighborhood,K-5,0,0,0,0,0,0,0,0,0,0,0,0,0
Rigler,ES,Spanish,K-5,221,255,301,317,324,308,318,312,305,297,298,300,299
Rigler,ES,Total,K-5,221,255,301,317,324,308,318,312,305,297,298,300,299
Rose City Park,ES,Neighborhood,K-5,285,248,237,210,206,201,191,205,205,214,218,218,220
Rose City Park,ES,Total,K-5,468,464,446,421,404,395,381,390,397,407,416,418,418
Rose City Park,ES,Vietnamese,K-5,183,216,209,211,198,194,190,185,192,193,198,200,198
Scott,ES,Neighborhood,K-5,226,265,252,239,257,252,228,229,222,222,222,222,221
Scott,ES,Spanish,K-5,206,235,242,232,228,226,222,214,218,221,224,225,225
Scott,ES,Total,K-5,432,500,494,471,485,478,450,443,440,443,446,447,446
Vestal,ES,Total,K-5,230,228,257,276,273,266,255,259,261,260,256,259,260
Harrison Park,MS,Mandarin,6-8,101,80,94,110,109,102,98,105,97,88,80,81,83
Harrison Park,MS,Neighborhood,6-8,472,241,278,293,310,321,341,331,313,296,292,286,285
Harrison Park,MS,Total,6-8,573,321,372,403,419,423,439,436,410,384,372,367,368
Roseway Heights,MS,Neighborhood,6-8,462,432,421,458,452,458,434,439,411,385,369,372,383
Roseway Heights,MS,Spanish,6-8,71,83,94,107,115,108,103,113,117,109,95,95,95
Roseway Heights,MS,Total,6-8,571,551,565,625,644,643,617,630,601,563,523,530,542
Roseway Heights,MS,Vietnamese,6-8,38,36,50,60,77,77,80,78,73,69,59,63,64
McDaniel,HS,Neighborhood,9-12,1218,1380,1375,1283,1238,1205,1187,1164,1181,1180,1140,1125,1087
McDaniel,HS,PISA,9-12,54,66,97,121,149,180,180,172,164,156,150,144,134
McDaniel,HS,Spanish,9-12,158,204,214,205,200,204,226,232,251,254,268,272,264
McDaniel,HS,Mandarin,9-12,0,0,0,30,28,28,33,36,35,33,33,32,31
McDaniel,HS,Vietnamese,9-12,0,0,0,12,24,47,70,88,96,100,105,88,93
McDaniel,HS,Total,9-12,1430,1650,1686,1651,1639,1664,1696,1692,1727,1723,1696,1661,1609
James John,ES,Neighborhood,K-5,208,220,224,220,211,205,200,207,196,196,199,202,199
James John,ES,Spanish,K-5,128,128,143,144,139,134,131,133,130,132,133,134,132
James John,ES,Total,K-5,336,348,367,364,350,339,331,340,326,328,332,336,331
Rosa Parks,ES,Total,K-5,192,177,172,172,166,167,173,176,171,173,178,182,181
Sitton,ES,Neighborhood,K-5,223,207,206,211,209,198,187,191,194,198,201,205,204
Sitton,ES,Spanish,K-5,119,128,133,129,122,112,102,99,102,104,105,106,107
Sitton,ES,Total,K-5,342,335,339,340,331,310,289,290,296,302,306,311,311
Astor,K8,Total,K-8,368,375,408,399,410,395,386,429,415,410,398,383,382
César Chávez,K8,Neighborhood,K-8,168,156,145,123,105,93,84,80,74,73,72,70,72
César Chávez,K8,Spanish,K-8,296,325,309,315,298,294,295,308,309,298,295,304,311
César Chávez,K8,Total,K-8,464,481,454,438,403,387,379,388,383,371,367,374,383
George,MS,Neighborhood,6-8,266,254,291,278,281,279,290,283,284,271,264,247,255
George,MS,Spanish,6-8,119,113,113,111,126,133,141,138,130,118,113,107,107
George,MS,Total,6-8,385,367,404,389,407,412,431,421,414,389,377,354,362
Roosevelt,HS,Neighborhood,9-12,1200,1130,1110,1090,1027,1063,1062,1057,1082,1072,1060,1098,1060
Roosevelt,HS,PISA,9-12,53,71,47,67,77,76,74,71,73,69,71,70,66
Roosevelt,HS,Spanish,9-12,225,256,295,336,357,368,351,347,348,357,364,357,331
Roosevelt,HS,Total,9-12,1478,1457,1452,1493,1461,1507,1487,1475,1503,1498,1495,1525,1457
Bridlemile,ES,Total,K-5,457,446,419,407,388,369,359,353,366,371,377,382,379
Capitol Hill,ES,Total,K-5,333,361,318,303,294,278,262,264,277,279,283,282,281
Hayhurst,ES,Total,K-5,349,335,314,291,280,264,257,255,263,266,273,278,278
Maplewood,ES,Total,K-5,307,301,295,278,292,300,287,288,295,291,280,270,272
Markham,ES,Total,K-5,424,402,341,356,344,320,318,313,315,314,312,312,311
Rieke,ES,Total,K-5,299,288,278,264,245,261,262,259,260,261,255,245,246
Stephenson,ES,Total,K-5,307,310,285,276,255,253,237,224,234,235,240,242,245
Gray,MS,Total,6-8,481,472,438,423,417,430,406,397,359,346,332,349,350
Jackson,MS,Total,6-8,787,711,715,704,706,691,674,649,577,539,522,554,543
Ida B Wells-Barnett,HS,Total,9-12,1555,1652,1650,1586,1568,1540,1541,1493,1491,1467,1404,1284,1238
ACCESS,G28,Total,G28,317,329,323,311,301,289,282,277,275,274,274,273,272
CreativeScience,K8,Total,K-8,423,0,0,0,0,0,0,0,0,0,0,0,0
Odyssey,K8,Total,K-8,225,227,211,218,221,215,215,208,205,207,204,201,202
Richmond,ES,Total,K-5,539,537,530,537,537,542,548,548,542,542,542,542,546
Winterhaven,K8,Total,K-12,313,316,322,320,319,311,306,302,301,296,292,290,285
da Vinci,MS,Total,6-8,433,407,427,433,440,441,436,426,408,391,375,367,354
Benson Polytechnic,HS,Total,9-12,826,818,896,1050,1148,1264,1252,1219,1207,1180,1154,1137,1113
MLC,K12,Total,K-12,347,336,319,304,305,295,288,280,277,289,294,294,292
OLA,K12,Total,K-12,223,0,0,0,0,0,0,0,0,0,0,0,0
Other (incl. Charters),K12,Total,K-12,2603,2659,2657,2523,2332,2133,2196,2158,2166,2126,2090,2083,1999
